date,code,code_name,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
1992-02-24,sh.000003,上证B股指数,128.17,129.86,124.65,124.65,0.0,2896000,2580000.0,3,2.896,1,0.0,0.0,0.0,0.0,0.0,0
1992-02-25,sh.000003,上证B股指数,118.31,124.65,111.27,118.31,124.65,181000,148000.0,3,0.181,1,-5.086245,0.0,0.0,0.0,0.0,0
1992-02-26,sh.000003,上证B股指数,114.08,118.31,112.68,112.68,118.31,305000,243000.0,3,0.305,1,-4.758682,0.0,0.0,0.0,0.0,0
1992-02-27,sh.000003,上证B股指数,112.68,118.31,112.68,115.49,112.68,330000,265000.0,3,0.33,1,2.493786,0.0,0.0,0.0,0.0,0
1992-02-28,sh.000003,上证B股指数,115.49,115.49,115.49,115.49,115.49,46000,37000.0,3,0.046,1,0.0,0.0,0.0,0.0,0.0,0
1992-03-02,sh.000003,上证B股指数,114.08,115.49,112.68,112.68,115.49,154000,124000.0,3,0.154,1,-2.433109,0.0,0.0,0.0,0.0,0
1992-03-03,sh.000003,上证B股指数,112.68,112.68,111.97,111.97,112.68,202000,160000.0,3,0.202,1,-0.630102,0.0,0.0,0.0,0.0,0
1992-03-04,sh.000003,上证B股指数,111.97,111.97,111.27,111.97,111.97,270000,213000.0,3,0.27,1,0.0,0.0,0.0,0.0,0.0,0
1992-03-05,sh.000003,上证B股指数,111.27,111.97,111.27,111.55,111.97,429000,339000.0,3,0.429,1,-0.375099,0.0,0.0,0.0,0.0,0
1992-03-06,sh.000003,上证B股指数,111.55,112.68,111.55,112.68,111.55,247000,196000.0,3,0.247,1,1.012996,0.0,0.0,0.0,0.0,0
1992-03-09,sh.000003,上证B股指数,111.97,112.68,111.27,112.68,112.68,1658000,1322000.0,3,1.658,1,0.0,0.0,0.0,0.0,0.0,0
1992-03-10,sh.000003,上证B股指数,112.68,113.38,112.68,113.38,112.68,217000,173000.0,3,0.217,1,0.621225,0.0,0.0,0.0,0.0,0
1992-03-11,sh.000003,上证B股指数,113.38,113.38,112.68,112.68,113.38,94000,75000.0,3,0.094,1,-0.61739,0.0,0.0,0.0,0.0,0
1992-03-12,sh.000003,上证B股指数,112.68,112.68,111.97,111.97,112.68,211000,168000.0,3,0.211,1,-0.630102,0.0,0.0,0.0,0.0,0
1992-03-13,sh.000003,上证B股指数,111.97,112.68,111.97,111.97,111.97,132000,105000.0,3,0.132,1,0.0,0.0,0.0,0.0,0.0,0
1992-03-16,sh.000003,上证B股指数,111.97,112.68,111.97,111.97,111.97,213000,169000.0,3,0.213,1,0.0,0.0,0.0,0.0,0.0,0
1992-03-17,sh.000003,上证B股指数,111.27,111.97,111.27,111.27,111.97,40000,31000.0,3,0.04,1,-0.625171,0.0,0.0,0.0,0.0,0
1992-03-18,sh.000003,上证B股指数,111.27,111.97,109.86,109.86,111.27,380000,300000.0,3,0.38,1,-1.267184,0.0,0.0,0.0,0.0,0
1992-03-19,sh.000003,上证B股指数,108.45,110.56,108.45,108.45,109.86,74000,57000.0,3,0.074,1,-1.283455,0.0,0.0,0.0,0.0,0
1992-03-20,sh.000003,上证B股指数,108.45,108.45,108.45,108.45,108.45,21000,16000.0,3,0.021,1,0.0,0.0,0.0,0.0,0.0,0
1992-03-23,sh.000003,上证B股指数,108.45,108.45,108.17,108.17,108.45,83000,63000.0,3,0.083,1,-0.258182,0.0,0.0,0.0,0.0,0
1992-03-24,sh.000003,上证B股指数,107.04,108.17,107.04,107.04,108.17,188000,142000.0,3,0.188,1,-1.044649,0.0,0.0,0.0,0.0,0
1992-03-25,sh.000003,上证B股指数,107.04,107.04,107.04,107.04,107.04,292000,221000.0,3,0.292,1,0.0,0.0,0.0,0.0,0.0,0
1992-03-26,sh.000003,上证B股指数,107.04,107.04,106.34,106.34,107.04,73000,55000.0,3,0.073,1,-0.653965,0.0,0.0,0.0,0.0,0
1992-03-27,sh.000003,上证B股指数,106.34,107.04,106.34,107.04,106.34,13000,9000.0,3,0.013,1,0.65827,0.0,0.0,0.0,0.0,0
1992-03-30,sh.000003,上证B股指数,107.04,107.04,105.63,105.63,107.04,61000,45000.0,3,0.061,1,-1.317268,0.0,0.0,0.0,0.0,0
1992-03-31,sh.000003,上证B股指数,105.63,105.63,104.23,104.23,105.63,173000,128000.0,3,0.173,1,-1.325375,0.0,0.0,0.0,0.0,0
1992-04-01,sh.000003,上证B股指数,104.23,104.23,102.82,102.82,104.23,14000,10000.0,3,0.014,1,-1.352781,0.0,0.0,0.0,0.0,0
1992-04-02,sh.000003,上证B股指数,102.82,102.82,102.11,102.11,102.82,12000,8000.0,3,0.012,1,-0.690526,0.0,0.0,0.0,0.0,0
1992-04-03,sh.000003,上证B股指数,102.04,102.11,101.41,101.41,102.11,60000,43000.0,3,0.06,1,-0.685532,0.0,0.0,0.0,0.0,0
1992-04-06,sh.000003,上证B股指数,102.11,102.11,100.7,100.7,101.41,48000,34000.0,3,0.048,1,-0.700135,0.0,0.0,0.0,0.0,0
1992-04-07,sh.000003,上证B股指数,101.41,101.41,100.7,101.41,100.7,47000,33000.0,3,0.047,1,0.705071,0.0,0.0,0.0,0.0,0
1992-04-08,sh.000003,上证B股指数,101.41,101.41,101.41,101.41,101.41,5000,3000.0,3,0.005,1,0.0,0.0,0.0,0.0,0.0,0
1992-04-09,sh.000003,上证B股指数,101.41,101.41,100.7,100.7,101.41,86000,61000.0,3,0.086,1,-0.700135,0.0,0.0,0.0,0.0,0
1992-04-10,sh.000003,上证B股指数,100.85,101.41,100.7,101.41,100.7,173000,123000.0,3,0.173,1,0.705071,0.0,0.0,0.0,0.0,0
1992-04-13,sh.000003,上证B股指数,101.41,101.41,101.41,101.41,101.41,320000,230000.0,3,0.32,1,0.0,0.0,0.0,0.0,0.0,0
1992-04-14,sh.000003,上证B股指数,101.41,101.41,101.41,101.41,101.41,92000,66000.0,3,0.092,1,0.0,0.0,0.0,0.0,0.0,0
1992-04-15,sh.000003,上证B股指数,101.41,101.41,101.41,101.41,101.41,164000,118000.0,3,0.164,1,0.0,0.0,0.0,0.0,0.0,0
1992-04-16,sh.000003,上证B股指数,101.41,101.41,101.41,101.41,101.41,2208000,1589000.0,3,2.208,1,0.0,0.0,0.0,0.0,0.0,0
1992-04-17,sh.000003,上证B股指数,101.41,101.41,101.41,101.41,101.41,42000,30000.0,3,0.042,1,0.0,0.0,0.0,0.0,0.0,0
1992-04-20,sh.000003,上证B股指数,101.41,101.41,101.41,101.41,101.41,71000,51000.0,3,0.071,1,0.0,0.0,0.0,0.0,0.0,0
1992-04-21,sh.000003,上证B股指数,101.41,101.41,101.41,101.41,101.41,32000,22000.0,3,0.032,1,0.0,0.0,0.0,0.0,0.0,0
1992-04-22,sh.000003,上证B股指数,100.85,101.41,100.85,101.41,101.41,371000,266000.0,3,0.371,1,0.0,0.0,0.0,0.0,0.0,0
1992-04-23,sh.000003,上证B股指数,102.82,102.82,101.41,102.82,101.41,505000,366000.0,3,0.505,1,1.390391,0.0,0.0,0.0,0.0,0
1992-04-24,sh.000003,上证B股指数,101.41,108.45,101.41,108.45,102.82,182000,135000.0,3,0.182,1,5.475586,0.0,0.0,0.0,0.0,0
1992-04-27,sh.000003,上证B股指数,108.45,108.45,104.37,107.04,108.45,595000,452000.0,3,0.595,1,-1.300135,0.0,0.0,0.0,0.0,0
1992-04-28,sh.000003,上证B股指数,107.04,108.45,107.04,108.45,107.04,1538000,1183000.0,3,1.538,1,1.317261,0.0,0.0,0.0,0.0,0
1992-04-29,sh.000003,上证B股指数,108.45,112.68,108.45,112.68,108.45,1792000,1398000.0,3,1.792,1,3.900418,0.0,0.0,0.0,0.0,0
1992-04-30,sh.000003,上证B股指数,112.68,112.68,112.68,112.68,112.68,1939000,1551000.0,3,1.939,1,0.0,0.0,0.0,0.0,0.0,0
